# Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,39,706,0,0,0,0,9,3,2,1,13,2,0,0
0,0,0,0,15,281,0,0,57,0,11,2,4,1,2,0,0,1
5,161,5,108,44,2982,0,0,5,0,11,1,1,4,1,2,0,1
12,232,0,0,439,17550,0,0,2,0,11,2,5,1,10,2,0,1
6,94,0,0,92,4212,0,0,6,0,11,1,1,1,2,2,1,1
4,43,0,0,4,27,0,0,0,0,9,1,1,1,5,0,0,1
0,0,0,0,13,226,0,0,0,0,3,2,2,4,3,2,1,0
7,109,0,0,35,1136,0,0,46,0,11,3,2,3,3,2,0,1
0,0,0,0,19,215,0,0,0,0,3,2,2,3,10,2,0,0
0,0,0,0,8,724,0,0,5,0,11,1,1,3,1,2,0,1
6,115,0,0,30,1076,0,0,10,0,11,2,2,4,3,2,1,1
7,111,2,5,131,5396,0,0,7,0,11,2,1,1,2,2,0,1
0,0,0,0,2,0,0,0,0,0,3,2,2,6,1,2,0,0
3,221,0,0,17,489,0,0,0,0,3,1,1,1,3,0,1,0
0,0,0,0,1,0,0,0,0,0,12,1,2,1,1,2,0,0
6,106,2,115,32,518,0,0,0,0,8,3,2,6,4,2,0,0
0,0,1,257,31,1906,0,0,22,0,5,2,2,2,11,2,0,1
1,48,0,0,35,668,0,0,36,0,11,2,4,1,3,2,0,1
0,0,0,0,2,0,0,0,0,0,11,1,1,8,1,2,0,0
6,52,1,24,56,3763,0,0,10,0,3,2,2,1,1,2,0,1
9,152,2,54,85,2971,0,0,1,0,11,2,2,3,1,2,0,1
0,0,0,0,12,483,0,0,0,0,12,2,5,1,1,2,0,0
12,345,0,0,52,3258,0,0,0,0,5,1,2,2,2,2,1,0
1,0,0,0,65,732,0,0,2,0,12,2,2,1,2,2,1,1
0,0,0,0,3,293,0,0,0,0,5,2,2,1,5,2,0,0
10,790,0,0,54,2702,0,0,0,0,11,2,2,1,10,2,0,1
6,82,0,0,176,5505,0,0,10,0,11,2,2,1,3,2,0,1
13,245,0,0,61,3773,0,0,22,0,10,2,2,9,3,2,0,1
6,152,0,0,17,450,0,0,14,0,11,1,8,3,11,2,0,1
0,0,0,0,16,588,0,0,0,0,2,2,4,1,1,2,0,0
0,0,0,0,21,476,0,0,0,0,11,3,2,1,2,2,1,0
10,156,2,14,51,865,0,0,0,0,5,2,2,1,1,2,0,0
2,21,0,0,27,694,0,0,0,0,5,2,2,1,2,2,0,0
6,171,3,178,26,1565,0,0,8,0,11,2,2,4,2,2,0,1
0,0,0,0,20,616,0,0,0,0,11,3,3,1,3,0,0,0
4,87,0,0,37,1336,0,0,0,0,11,2,2,1,1,2,0,0
0,0,0,0,3,294,0,0,30,0,11,3,6,3,2,2,1,1
0,0,0,0,64,1298,0,0,0,0,7,1,1,3,4,2,0,0
3,27,1,0,45,3141,0,0,6,1,5,3,2,1,3,2,1,1
2,24,7,278,76,2735,0,0,8,0,3,2,5,2,7,2,0,1
3,42,0,0,54,5972,0,0,70,0,11,2,6,1,3,2,0,1
0,0,0,0,39,935,0,0,0,0,12,2,2,8,2,2,0,0
0,0,0,0,4,226,0,0,12,0,11,1,1,6,2,2,0,1
0,0,0,0,4,186,0,0,0,0,11,3,2,3,2,2,0,0
0,0,0,0,2,63,0,0,0,0,11,2,4,1,1,2,0,0
0,0,0,0,11,925,0,0,0,0,11,3,2,2,2,2,0,0
3,45,0,0,13,661,0,0,0,0,11,2,2,1,2,0,0,0
0,0,0,0,4,26,0,0,0,0,5,2,2,1,13,2,0,0
26,1561,9,503,183,9676,0,0,19,0,11,3,2,2,13,2,0,1
7,95,0,0,41,1164,0,0,27,0,12,3,2,5,1,2,1,1
1,15,0,0,18,343,0,0,38,0,12,2,13,9,20,0,0,1
3,430,1,262,49,2338,0,0,9,0,5,3,2,4,4,2,0,1
5,107,2,15,250,8622,0,0,0,0,11,3,2,1,1,2,0,1
14,324,2,40,12,338,0,0,0,0,12,1,1,1,10,2,1,0
0,0,0,0,16,865,0,0,93,0,12,1,1,1,2,0,1,1
1,5,0,0,41,764,0,0,0,0,6,2,2,1,4,2,0,0
5,179,1,43,12,482,0,0,0,0,12,2,2,4,2,2,0,0
0,0,0,0,12,183,0,0,0,0,11,3,2,1,2,2,0,0
2,7,0,0,15,533,0,0,4,0,11,2,2,1,3,2,0,0
7,125,1,44,54,2240,0,0,21,0,7,2,2,6,1,2,0,1
5,98,0,0,126,6085,0,0,28,0,11,2,2,1,2,2,0,1
10,291,0,0,36,940,0,0,87,0,8,2,2,2,2,2,0,1
1,12,0,0,0,0,0,0,0,0,8,3,2,6,2,2,1,1
6,545,3,204,69,1182,0,0,19,0,11,2,2,1,13,2,1,1
0,0,0,0,5,23,0,0,0,0,3,2,2,1,1,2,0,0
0,0,0,0,9,228,0,0,0,0,5,3,2,3,3,2,0,0
11,118,2,91,162,5399,0,0,14,0,11,2,2,4,10,2,0,1
0,0,0,0,2,0,0,0,0,0,12,3,7,3,1,2,0,0
3,99,0,0,31,835,0,0,47,0,11,2,2,1,10,2,0,1
0,0,0,0,43,1606,0,0,18,0,6,4,1,1,2,0,0,1
1,7,0,0,7,151,0,0,50,0,5,2,2,1,1,2,0,1
1,0,0,0,11,113,0,0,0,0,11,2,4,1,3,2,0,1
0,0,0,0,10,450,0,0,0,0,5,3,2,1,13,2,0,0
2,74,0,0,30,1708,0,0,16,0,5,2,2,7,1,2,1,1
4,34,0,0,2,22,0,0,0,0,10,2,2,4,2,0,0,0
6,84,0,0,24,1387,0,0,11,0,11,2,2,1,3,2,0,1
0,0,0,0,80,801,0,0,0,0,3,2,2,3,1,2,0,0
0,0,2,5,13,354,0,0,68,0,9,3,2,4,4,2,1,0
11,247,2,369,90,7221,0,0,13,0,3,2,2,3,8,2,0,1
0,0,0,0,63,5220,0,0,51,0,3,2,5,3,1,2,1,1
0,0,0,0,4,76,0,0,0,0,11,1,1,8,2,0,0,1
2,147,0,0,2,35,0,0,0,0,3,2,2,1,2,0,0,0
8,237,4,142,30,1569,0,0,15,0,3,1,2,1,9,2,1,1
4,149,0,0,27,1212,0,0,14,0,3,2,2,7,2,2,0,1
2,17,0,0,11,440,0,0,54,0,5,2,4,8,4,0,0,1
0,0,0,0,12,153,0,0,0,0,11,2,2,3,2,0,0,1
0,0,0,0,36,808,0,0,53,0,5,2,2,6,4,2,0,1
0,0,0,0,10,393,0,0,0,0,5,2,2,7,3,2,0,0
10,218,0,0,27,897,0,0,48,0,12,2,2,1,3,2,0,0
0,0,0,0,21,761,0,0,0,0,5,3,2,3,1,2,0,0
1,397,3,89,8,249,0,0,0,0,5,3,2,1,6,2,1,0
19,739,1,8,114,4269,0,0,8,0,11,2,2,2,1,2,0,0
2,33,0,0,25,1720,0,0,60,0,3,2,5,3,1,2,0,1
0,0,0,0,3,0,0,0,0,0,11,3,2,1,13,2,0,0
6,113,2,19,23,2049,0,0,95,0,12,1,1,2,2,2,0,1
0,0,0,0,11,210,0,0,0,0,5,2,2,8,2,2,0,0
0,0,0,0,11,1390,0,0,0,0,3,1,1,1,3,2,1,0
0,0,0,0,10,203,0,0,0,0,3,3,2,2,3,2,0,0
0,0,0,0,18,668,0,0,0,0,5,3,2,1,2,2,0,0
0,0,0,0,17,284,0,0,0,0,2,3,2,6,2,2,1,0
2,57,0,0,28,724,0,0,32,0,5,1,1,1,4,2,0,1
0,0,0,0,84,2524,0,0,0,0,11,2,2,1,3,2,0,1
2,88,0,0,3,95,0,0,0,0,5,1,2,3,2,0,0,0
1,14,0,0,10,90,0,0,0,0,3,2,2,2,10,0,0,0
3,90,3,65,13,1036,0,0,19,0,11,3,2,1,4,2,1,0
2,18,0,0,15,756,0,0,29,0,3,2,10,3,1,2,0,1
0,0,0,0,9,478,0,0,0,0,3,3,2,2,3,2,1,0
0,0,0,0,6,362,0,0,0,0,5,2,2,2,3,2,0,0
0,0,0,0,8,349,0,0,25,0,3,1,2,1,8,0,0,1
6,132,3,79,45,1620,0,0,0,0,10,1,1,1,2,2,0,0
0,0,0,0,1,0,0,0,0,0,5,2,2,3,6,2,0,0
0,0,0,0,1,695,0,0,0,0,11,2,2,4,1,2,0,0
0,0,0,0,10,351,0,0,0,0,12,2,2,4,1,2,1,0
1,11,0,0,15,175,0,0,0,0,11,1,1,2,2,0,0,0
0,0,0,0,20,480,0,0,0,1,5,1,8,1,19,2,1,0
9,250,5,343,82,5076,0,0,28,0,12,3,2,1,13,2,0,1
2,33,4,32,109,1759,0,0,48,0,10,4,1,3,6,2,0,1
6,175,0,0,3,27,0,0,0,0,7,2,10,3,5,0,0,0
2,78,0,0,24,424,0,0,0,0,3,1,1,3,10,0,0,0
0,0,0,0,6,1038,0,0,0,0,12,2,4,1,2,2,0,0
5,262,0,0,45,1456,0,0,13,0,5,2,2,7,4,2,0,1
1,13,5,425,116,2633,0,0,0,0,11,2,2,1,2,2,0,1
0,0,0,0,27,1070,0,0,57,0,3,2,2,3,2,2,0,1
0,0,0,0,8,332,0,0,14,0,11,1,2,4,8,0,1,1
0,0,0,0,19,1040,0,0,115,0,5,2,2,6,2,0,1,1
3,31,1,42,13,134,0,0,0,0,11,2,2,6,2,0,0,0
0,0,0,0,5,614,0,0,0,0,12,2,10,2,2,2,0,0
10,491,0,0,48,1939,0,0,0,0,11,2,2,7,20,2,0,1
0,0,0,0,10,338,0,0,32,0,5,2,2,2,1,2,0,1
0,0,0,0,3,56,0,0,0,0,11,2,2,3,1,2,0,0
0,0,0,0,3,55,0,0,0,0,3,2,2,1,10,2,0,0
4,74,0,0,37,2517,0,0,0,0,3,3,2,2,1,2,1,0
0,0,0,0,7,284,0,0,128,0,12,2,2,4,10,2,0,1
0,0,0,0,13,350,0,0,0,0,5,3,2,9,13,2,0,0
0,0,0,0,7,138,0,0,179,0,11,2,2,4,2,0,1,1
1,0,0,0,28,2195,0,0,8,0,10,1,1,3,2,2,0,1
0,0,0,0,42,2058,0,0,0,0,5,2,10,7,1,2,0,0
0,0,0,0,14,264,0,0,0,0,3,2,2,1,10,2,0,0
0,0,0,0,20,691,0,0,0,0,12,3,2,4,2,0,0,0
2,113,0,0,37,1344,0,0,11,0,12,2,2,3,2,0,0,1
0,0,0,0,31,464,0,0,0,0,6,2,2,3,3,2,0,0
6,475,1,18,28,1559,0,0,15,0,5,2,2,5,4,2,0,1
2,58,0,0,28,968,0,0,14,0,11,2,5,1,3,2,0,1
0,0,0,0,7,357,0,0,0,0,11,4,1,4,10,2,1,0
0,0,0,0,16,213,0,0,0,0,8,2,2,1,4,2,0,1
4,172,0,0,11,787,0,0,0,0,5,2,2,1,6,2,1,0
1,73,1,740,50,1434,0,0,22,0,3,2,2,3,2,2,1,0
2,83,2,40,241,5194,0,0,0,0,12,2,4,1,1,2,0,0
0,0,0,0,2,65,0,0,0,0,7,2,2,9,13,2,1,0
0,0,0,0,27,857,0,0,0,0,11,2,2,9,10,2,0,0
8,183,4,571,14,333,0,0,15,0,3,1,1,1,2,2,1,1
1,12,0,0,29,919,0,0,7,0,8,2,5,4,2,2,0,1
0,0,0,0,21,1088,0,0,16,0,11,3,2,1,2,2,1,1
0,0,0,0,89,2924,0,0,0,0,11,2,2,1,10,2,0,1
4,1946,0,0,31,731,0,0,0,0,12,2,2,4,2,0,1,0
7,319,0,0,11,416,0,0,0,0,3,3,2,1,9,0,1,0
0,0,4,147,45,1424,0,0,0,0,12,1,1,3,2,2,1,0
1,191,0,0,13,679,0,0,34,0,11,3,2,3,2,2,1,1
0,0,0,0,7,444,0,0,59,0,12,1,1,2,8,0,1,1
2,59,1,20,96,5604,0,0,5,0,5,2,7,1,6,2,0,1
0,0,0,0,22,465,0,0,0,0,5,3,2,1,4,2,0,0
1,31,0,0,3,32,0,0,0,0,12,2,2,9,2,0,1,0
0,0,0,0,20,1194,0,0,0,0,11,2,2,1,8,2,1,1
3,184,0,0,106,4590,0,0,3,0,8,2,2,9,2,2,0,1
0,0,0,0,10,108,0,0,0,0,5,1,8,1,19,2,0,0
8,144,4,181,52,2826,0,0,0,0,5,3,2,3,13,2,1,0
0,0,0,0,6,95,0,0,86,0,10,1,1,4,2,0,0,1
0,0,0,0,14,310,0,0,0,0,5,2,4,1,3,2,0,0
3,238,5,1488,104,3275,0,0,1,0,11,1,1,3,10,2,0,1
2,67,2,100,17,1770,0,0,0,0,11,2,2,2,2,2,0,0
1,25,0,0,14,397,0,0,14,0,5,1,1,3,3,2,0,1
3,37,1,9,17,1075,0,0,0,0,5,3,2,1,2,2,1,0
0,0,0,0,33,778,0,0,0,0,3,2,5,1,1,2,0,0
1,0,1,34,69,3051,0,0,0,0,10,2,4,9,3,2,0,0
0,0,0,0,37,1212,0,0,0,0,11,2,2,6,2,2,0,1
5,58,1,685,177,4041,0,0,9,0,11,2,2,1,2,2,0,0
2,82,0,0,10,352,0,0,27,0,9,2,2,1,2,0,1,1
0,0,2,1368,26,650,0,0,0,0,11,1,1,1,2,2,1,1
6,129,0,0,42,1173,0,0,18,0,3,2,2,3,8,0,1,1
12,397,3,431,336,12595,0,0,1,0,11,2,2,1,11,2,0,1
8,129,0,0,70,1438,0,0,0,0,7,2,2,7,1,2,0,0
0,0,0,0,38,726,0,0,0,1,5,2,2,4,13,2,1,0
0,0,0,0,6,193,0,0,0,0,3,4,1,3,3,2,1,0
2,11,2,139,80,4099,0,0,16,0,3,3,2,1,2,2,1,1
0,0,0,0,30,986,0,0,0,0,5,2,4,3,3,2,0,0
6,523,2,263,48,2309,0,0,10,0,3,2,2,3,1,2,0,1
0,0,1,0,8,165,0,0,0,0,5,1,1,1,1,2,0,0
3,203,0,0,28,2394,0,0,0,0,5,2,2,7,1,2,0,0
2,129,0,0,16,1835,0,0,0,0,8,2,4,9,6,2,0,0
0,0,0,0,11,2076,0,0,0,0,11,2,2,4,3,2,0,0
8,117,0,0,8,104,0,0,0,0,11,1,1,2,2,2,1,1
0,0,0,0,1,0,0,0,0,0,3,2,2,4,11,2,0,0
6,198,2,89,148,8178,0,0,6,0,11,2,2,1,1,2,0,1
0,0,0,0,23,566,0,0,0,0,11,3,2,1,13,2,0,0
2,28,0,0,12,224,0,0,44,0,3,3,2,6,2,2,0,1
0,0,0,0,48,691,0,0,0,0,11,3,2,3,3,2,0,0
0,0,0,0,14,354,0,0,124,0,5,1,1,6,5,0,0,1
0,0,0,0,3,120,0,0,0,0,11,2,2,3,1,1,1,0
4,240,0,0,73,2371,0,0,0,0,11,3,2,1,2,2,1,0
6,136,0,0,59,3224,0,0,8,0,3,2,4,2,2,2,1,1
5,72,10,208,27,1091,0,0,0,0,9,2,2,1,2,2,0,1
5,135,0,0,26,794,0,0,33,0,12,1,1,1,2,2,0,0
5,51,0,0,14,837,0,0,0,0,11,1,1,2,8,0,0,1
0,0,0,0,37,607,0,0,39,0,5,1,1,1,2,2,1,1
2,33,1,91,31,1271,0,0,1,0,3,1,8,4,1,2,0,1
8,456,0,0,35,1113,0,0,12,0,10,2,5,2,2,2,0,1
1,112,0,0,8,543,0,0,28,0,10,1,1,6,2,0,1,1
7,48,0,0,9,116,0,0,0,0,5,2,2,1,1,2,0,0
1,3,0,0,13,543,0,0,0,0,12,2,2,1,2,0,0,0
0,0,0,0,30,1682,0,0,41,0,12,2,2,4,2,2,0,1
0,0,0,0,19,606,0,0,0,0,3,2,2,1,3,2,0,0
7,201,1,2,95,5696,0,0,19,0,11,2,4,3,10,2,0,1
12,264,2,11,24,1032,0,0,0,0,12,1,1,9,1,2,1,0
8,674,0,0,18,1090,0,0,69,0,5,2,2,1,4,2,0,1
0,0,0,0,17,1059,0,0,62,0,11,2,2,1,2,0,0,1
10,137,1,32,145,6165,0,0,0,0,11,2,2,6,2,2,0,1
1,4,0,0,24,957,0,0,22,0,5,3,2,6,13,2,0,1
3,58,0,0,23,364,0,0,0,0,3,2,2,1,3,2,0,0
9,341,0,0,37,1538,0,0,0,0,12,2,2,3,1,2,0,0
2,149,0,0,6,326,0,0,0,0,12,1,1,1,2,0,0,1
0,0,0,0,13,374,0,0,16,0,8,4,1,1,3,2,0,1
5,70,0,0,89,2542,0,0,5,0,11,2,2,4,2,2,0,1
12,432,3,112,42,2132,0,0,0,0,5,1,1,3,2,2,0,0
0,0,0,0,12,405,0,0,0,0,11,3,2,2,13,2,0,0
4,114,0,0,55,1247,0,0,0,0,5,3,2,3,4,2,1,0
4,64,2,28,16,597,0,0,0,0,10,3,2,1,5,2,1,0
0,0,2,105,194,6460,0,0,1,0,11,2,2,3,2,2,0,1
4,55,0,0,4,42,0,0,0,0,11,1,1,1,8,0,0,0
2,180,0,0,26,1030,0,0,0,0,8,3,2,6,2,0,0,0
1,150,0,0,18,635,0,0,57,0,11,2,2,1,2,0,1,1
0,0,0,0,18,353,0,0,0,0,11,1,1,1,2,2,1,1
2,129,0,0,31,866,0,0,18,0,5,3,2,6,1,2,0,1
2,35,0,0,44,2479,0,0,0,0,5,2,2,1,6,2,0,0
2,21,0,0,65,2881,0,0,80,0,3,2,2,4,2,0,0,1
5,115,0,0,60,1516,0,0,0,0,8,2,2,4,3,2,1,0
0,0,0,0,1,0,0,0,0,0,2,3,3,3,2,2,1,0
3,155,1,14,108,2942,0,0,7,0,12,1,1,2,10,2,0,1
10,318,9,991,216,7761,0,0,1,0,11,2,6,2,2,2,1,1
2,151,0,0,19,716,0,0,10,0,3,1,1,7,1,2,1,1
0,0,0,0,153,4565,0,0,6,0,8,2,2,4,1,2,1,1
7,45,0,0,35,653,0,0,19,0,12,2,2,1,8,2,0,0
0,0,0,0,11,304,0,0,0,0,5,2,2,3,4,2,0,0
0,0,0,0,12,896,0,0,14,0,5,2,5,1,5,2,0,1
3,66,0,0,12,368,0,0,21,0,11,2,2,1,2,2,0,1
0,0,0,0,5,0,0,0,0,0,11,2,2,2,1,2,0,0
0,0,0,0,3,61,0,0,0,0,11,2,10,1,3,2,0,0
0,0,2,131,36,868,0,0,33,0,5,3,2,7,2,0,1,1
0,0,0,0,8,781,0,0,0,0,3,3,2,4,1,2,0,0
4,157,0,0,20,834,0,0,4,0,12,2,2,1,2,2,0,1
0,0,1,0,21,472,0,0,34,0,11,1,1,1,10,2,0,1
0,0,0,0,14,204,0,0,0,0,5,1,1,4,3,2,0,0
2,20,0,0,66,3391,0,0,0,0,12,3,2,8,1,2,0,0
5,115,1,0,9,181,0,0,0,0,12,1,1,1,8,0,0,0
2,24,0,0,28,1206,0,0,5,0,3,2,2,1,2,2,0,1
0,0,0,0,103,3357,0,0,0,0,9,2,2,4,1,2,0,0
1,14,0,0,14,988,0,0,68,0,12,2,5,9,1,2,0,1
1,28,0,0,61,2006,0,0,2,0,8,2,5,3,2,2,0,0
0,0,0,0,26,655,0,0,0,0,3,1,1,8,3,2,0,0
2,137,0,0,6,185,0,0,44,0,10,2,2,7,4,2,0,1
18,1103,8,696,359,12959,0,0,7,0,11,2,2,1,2,2,0,1
13,297,3,352,41,2422,0,0,72,0,12,2,2,1,8,2,0,1
4,122,3,124,12,1040,0,0,0,0,5,2,2,5,2,2,0,0
7,722,9,151,238,10340,0,0,3,0,12,2,2,4,1,2,0,0
6,116,0,0,171,9405,0,0,0,0,12,3,2,3,2,2,0,1
2,105,0,0,19,1124,0,0,0,0,11,3,2,9,2,2,1,0
13,318,1,0,60,1205,0,0,5,0,5,2,2,3,13,2,0,1
1,24,0,0,15,496,0,0,115,0,5,2,2,3,2,2,0,1
8,167,1,168,33,755,0,0,0,0,10,2,2,3,3,2,0,0
4,132,0,0,25,773,0,0,5,0,5,3,2,2,2,2,0,1
2,70,0,0,27,213,0,0,79,0,10,2,2,1,3,0,1,1
0,0,0,0,12,309,0,0,14,0,9,3,2,1,6,0,0,1
2,58,0,0,24,589,0,0,1,0,9,2,2,1,1,2,1,0
10,1271,0,0,41,1221,0,0,71,0,5,2,2,2,4,2,0,1
5,44,0,0,131,3865,0,0,0,0,11,2,2,3,2,2,1,1
3,58,0,0,9,229,0,0,0,0,5,1,8,3,1,2,1,0
6,124,3,243,25,1971,0,0,24,0,5,2,2,5,4,2,0,1
0,0,0,0,2,27,0,0,0,0,11,2,2,1,1,2,1,0
1,4,2,11,110,3211,0,0,0,0,3,2,2,1,2,2,0,0
0,0,0,0,7,169,0,0,21,0,7,2,2,7,2,0,0,1
4,65,0,0,26,501,0,0,0,0,11,2,2,9,2,0,0,1
0,0,0,0,5,586,0,0,0,0,11,2,4,9,10,2,1,0
0,0,0,0,61,1636,0,0,0,0,11,2,2,1,2,0,0,0
0,0,0,0,8,219,0,0,0,0,12,2,5,3,2,2,0,0
0,0,0,0,10,155,0,0,0,0,7,2,2,6,20,2,0,0
0,0,0,0,26,548,0,0,0,0,11,1,2,6,2,2,0,0
0,0,0,0,7,379,0,0,0,0,3,3,2,8,1,2,0,0
0,0,1,141,43,3044,0,0,3,0,12,2,4,1,10,2,0,1
0,0,0,0,26,955,0,0,0,0,12,2,2,7,2,0,1,0
4,45,0,0,18,1273,0,0,6,0,12,1,1,1,1,2,0,1
1,4,0,0,14,333,0,0,24,0,5,3,2,2,6,0,0,1
1,35,1,49,11,1464,0,0,32,0,5,2,2,4,4,2,0,1
5,81,0,0,43,875,0,0,0,0,5,2,2,5,4,2,0,0
1,73,0,0,23,1280,0,0,36,0,12,2,4,1,2,0,0,1
4,52,0,0,11,463,0,0,0,0,11,3,2,6,11,0,1,0
0,0,0,0,159,5878,0,0,0,0,11,3,2,1,2,2,0,1
2,15,0,0,19,523,0,0,28,0,11,3,2,1,8,2,0,1
7,238,7,300,33,1801,0,0,8,0,5,2,1,1,4,2,1,0
0,0,0,0,5,124,0,0,0,0,11,1,1,3,11,2,0,0
1,25,0,0,35,1570,0,0,13,0,5,2,2,6,4,2,1,1
0,0,0,0,48,3025,0,0,0,0,8,1,1,1,20,2,0,0
5,166,1,0,38,1869,0,0,0,0,12,2,4,8,2,0,0,1
0,0,0,0,7,70,0,0,0,0,7,3,2,4,1,2,0,0
0,0,0,0,48,1900,0,0,0,0,11,1,1,3,10,2,1,1
12,217,4,1009,38,1639,0,0,5,0,9,3,2,6,1,2,1,0
11,268,2,71,49,1758,0,0,0,0,9,2,5,4,1,2,0,1
0,0,0,0,6,184,0,0,0,0,11,2,10,4,3,2,0,0
0,0,2,75,109,4008,0,0,0,0,11,2,2,1,2,2,0,1
11,202,5,1767,338,13265,0,0,1,0,11,2,2,3,2,2,0,1
0,0,0,0,9,1217,0,0,0,0,5,1,1,5,4,2,0,0
0,0,5,497,26,851,0,0,0,0,11,2,2,1,2,0,1,0
0,0,0,0,24,607,0,0,19,0,11,4,1,1,2,0,0,1
